hsa:100033817	HBII-52-43
hsa:100033817	SNORD115-43
hsa:100033818	HBII-52-44
hsa:100033818	SNORD115-44
hsa:100033819	hsa-mir-675
hsa:100033819	MIR675
hsa:100033819	MIRN675
hsa:100033820	HBII-85-28
hsa:100033820	SNORD116-28
hsa:100033821	HBII-85-29
hsa:100033821	SNORD116-29
hsa:100033822	HBII-52-48
hsa:100033822	SNORD115-48
hsa:100036563	HBII-52-24
hsa:100036563	SNORD115-24
hsa:100036564	HBII-52-27
hsa:100036564	SNORD115-27
hsa:100036565	HBII-52-28
hsa:100036565	SNORD115-28
hsa:100036566	HBII-52-45
hsa:100036566	SNORD115-45
hsa:100036566	SNORD115-48
hsa:100036567	HBII-52-46
hsa:100036567	HBII-52-47
hsa:100036567	SNORD115-47
hsa:100037417	DDT
hsa:100037417	DDTL
hsa:100037417	KB-226F1.2
hsa:10004	I100
hsa:10004	NAALADASEL
hsa:10004	NAALADL1
hsa:100049587	SIGLEC14
hsa:10005	ACOT8
hsa:10005	hACTE-III
hsa:10005	HNAACTE
hsa:10005	hTE
hsa:10005	NAP1
hsa:10005	PTE1
hsa:10005	PTE-1
hsa:10005	PTE2
hsa:10005	PTE-2
hsa:10006	ABI1
hsa:10006	ABI-1
hsa:10006	ABLBP4
hsa:10006	E3B1
hsa:10006	NAP1BP
hsa:10006	SSH3BP
hsa:10006	SSH3BP1
hsa:10007	GNP1
hsa:10007	GNPDA
hsa:10007	GNPDA1
hsa:10007	GNPI
hsa:10007	GPI
hsa:10007	HLN
hsa:10008	BRGDA6
hsa:10008	HOKPP
hsa:10008	HYPP
hsa:10008	KCNE3
hsa:10008	MiRP2
hsa:10009	ZBTB33
hsa:10009	ZNF348
hsa:10009	ZNF-kaiso
hsa:1001	CDH3
hsa:1001	CDHP
hsa:1001	HJMD
hsa:1001	PCAD
hsa:10010	ITRAF
hsa:10010	I-TRAF
hsa:10010	TANK
hsa:10010	TRAF2
hsa:100101267	POM121-2
hsa:100101267	POM121C
hsa:100101467	ZNF397OS
hsa:100101467	ZNF917
hsa:100101467	ZNF-WYM
hsa:100101467	ZSCAN30
hsa:100101629	CT4.8
hsa:100101629	GAGE8
hsa:100101629	GAGE-8
hsa:10011	pp7684
hsa:10011	SRA
hsa:10011	SRA1
hsa:10011	SRAP
hsa:10011	STRAA1
hsa:100113378	SNORD119
hsa:100113379	SNORD121A
hsa:100113380	SNORD125
hsa:100113381	SNORD19B
hsa:100113382	SNORD105B
hsa:100113384	SNORD123
hsa:100113389	SNORD127
hsa:100113391	MIR1201
hsa:100113391	MIRN1201
hsa:100113391	SNORD126
hsa:100113392	SNORD11B
hsa:100113393	SNORD12B
hsa:100113402	MIR3647
hsa:100113402	SNORD111B
hsa:100113407	TMEM170B
hsa:100124516	SNORD58C
hsa:100124516	U58
hsa:100124533	SCARNA27
hsa:100124534	SNORA84
hsa:100124535	SNORA36C
hsa:100124536	SNORA38B
hsa:100124537	SNORA70B
hsa:100124538	SNORA70C
hsa:100124538	U70C
hsa:100124539	SNORA11B
hsa:100124540	SNORA11C
hsa:100124541	SNORA11D
hsa:100125288	GATAD3
hsa:100125288	GLP1
hsa:100125288	GLP-1
hsa:100125288	ZGLP1
hsa:100126296	hsa-mir-298
hsa:100126296	MIR298
hsa:100126296	MIRN298
hsa:100126297	hsa-mir-300
hsa:100126297	MIR300
hsa:100126297	MIRN300
hsa:100126299	CBL3
hsa:100126299	CBL-3
hsa:100126299	hsa-mir-886
hsa:100126299	hvg-5
hsa:100126299	MIR886
hsa:100126299	MIRN886
hsa:100126299	nc886
hsa:100126299	pre-miR-886
hsa:100126299	svtRNA2-1a
hsa:100126299	VTRNA2
hsa:100126299	VTRNA2-1
hsa:100126301	MIR509-2
hsa:100126301	MIRN509-2
hsa:100126302	MIR450B
hsa:100126302	mir-450b
hsa:100126302	MIRN450B
hsa:100126303	hsa-mir-890
hsa:100126303	MIR890
hsa:100126303	MIRN890
hsa:100126304	MIR891B
hsa:100126304	MIRN891B
hsa:100126306	hsa-mir-888
hsa:100126306	MIR888
hsa:100126306	MIRN888
hsa:100126307	MIR892B
hsa:100126307	MIRN892B
hsa:100126308	hsa-mir-541
hsa:100126308	MIR541
hsa:100126308	mir-541
hsa:100126308	MIRN541
hsa:100126309	hsa-mir-875
hsa:100126309	MIR875
hsa:100126309	MIRN875
hsa:100126310	hsa-mir-876
hsa:100126310	MIR876
hsa:100126310	mir-876
hsa:100126310	MIRN876
hsa:100126311	MIR147B
hsa:100126311	mir-147b
hsa:100126311	MIRN147B
hsa:100126313	hsa-mir-744
hsa:100126313	MIR744
hsa:100126313	mir-744
hsa:100126313	MIRN744
hsa:100126314	hsa-mir-877
hsa:100126314	MIR877
hsa:100126314	mir-877
hsa:100126314	MIRN877
hsa:100126314	miRNA877
hsa:100126315	hsa-mir-665
hsa:100126315	MIR665
hsa:100126315	mir-665
hsa:100126315	MIRN665
hsa:100126316	hsa-mir-873
hsa:100126316	MIR873
hsa:100126316	mir-873
hsa:100126316	MIRN873
hsa:100126317	MIR374B
hsa:100126317	mir-374b
hsa:100126317	MIRN374B
hsa:100126318	MIR301B
hsa:100126318	mir-301b
hsa:100126318	MIRN301B
hsa:100126319	MIR216B
hsa:100126319	mir-216b
hsa:100126319	MIRN216B
hsa:100126320	hsa-mir-920
hsa:100126320	MIR920
hsa:100126320	MIRN920
hsa:100126321	hsa-mir-922
hsa:100126321	MIR922
hsa:100126321	MIRN922
hsa:100126323	hsa-mir-924
hsa:100126323	MIR924
hsa:100126323	MIRN924
hsa:100126324	hsa-mir-934
hsa:100126324	MIR934
hsa:100126324	mir-934
hsa:100126324	MIRN934
hsa:100126325	hsa-mir-935
hsa:100126325	MIR935
hsa:100126325	mir-935
hsa:100126325	MIRN935
hsa:100126326	hsa-mir-936
hsa:100126326	MIR936
hsa:100126326	MIRN936
hsa:100126327	hsa-mir-938
hsa:100126327	MIR938
hsa:100126327	MIRN938
hsa:100126328	hsa-mir-940
hsa:100126328	MIR940
hsa:100126328	mir-940
hsa:100126328	MIRN940
hsa:100126329	MIR941-1
hsa:100126329	mir-941-1
hsa:100126329	MIRN941-1
hsa:100126330	MIR941-4
hsa:100126330	MIRN941-4
hsa:100126331	hsa-mir-942
hsa:100126331	MIR942
hsa:100126331	mir-942
hsa:100126331	MIRN942
hsa:100126332	hsa-mir-943
hsa:100126332	MIR943
hsa:100126332	MIRN943
hsa:100126333	hsa-mir-708
hsa:100126333	MIR708
hsa:100126333	MIRN708
hsa:100126334	hsa-mir-885
hsa:100126334	MIR885
hsa:100126334	mir-885
hsa:100126334	MIRN885
hsa:100126335	hsa-mir-543
hsa:100126335	MIR543
hsa:100126335	mir-543
hsa:100126335	MIRN543
hsa:100126336	MIR208B
hsa:100126336	mir-208b
hsa:100126336	MIRN208B
hsa:100126337	MIR509-3
hsa:100126337	mir-509-3
hsa:100126337	MIRN509-3
hsa:100126338	hsa-mir-937
hsa:100126338	MIR937
hsa:100126338	mir-937
hsa:100126338	MIRN937
hsa:100126339	MIR941-2
hsa:100126339	MIRN941-2
