CTGF	SCGB1A1	0.05
CTGF	FGF7	0.05
CTGF	CXCR2	0.05
CTGF	IGFBP5	0.1
CTGF	IL1R1	0.0125
CTGF	SPP1	0.05
CTGF	SFTPB	0.0125
CTGF	IL1A	0.0125
CTGF	FHIT	0.1125
CTGF	SMAD2	0.2
CTGF	MUC1	0.075
CTGF	SMAD3	0.05
CTGF	CXCR1	0.0125
CTGF	SPARC	0.09
CTGF	TGFBR1	0.0125
CTGF	VCAM1	0.0375
CTGF	TNF	0.0125
CTGF	TOLLIP	0.0625
CTGF	POSTN	0.1
CTGF	CXCL1	0.0125
CXCL5	MMP7	0.04
CXCL5	CXCL8	0.13
CXCL5	DDR1	0.05
CXCL5	EDN1	0.05
CXCL5	TIMP1	0.04
CXCL5	FASLG	0.05
CXCL5	FGF2	0.1125
CXCL5	FGF7	0.05
CXCL5	IGFBP5	0.1
CXCL5	SPP1	0.05
CXCL5	FHIT	0.05
CXCL5	SMAD3	0.025
CXCL5	CXCR1	0.08
CXCL5	TGFBR1	0.0125
CXCL5	VCAM1	0.1
CXCL5	POSTN	0.05
CXCL5	ELMOD2	0.05
CXCL5	NOX4	0.0125
CCL2	MMP7	0.05
CCL2	CXCL8	0.3
CCL2	IL1B	0.0125
CCL2	IL13	0.0125
CCL2	IFNG	0.025
CCL2	SERPINH1	0.025
CCL2	CCL3	0.0925
CCL2	EDN1	0.1
CCL2	CXCL9	0.0925
CCL2	IL18	0.0125
CCL2	CCL4	0.0525
CCL2	CXCL12	0.0125
CCL2	TIMP1	0.0525
CCL2	PDGFB	0.025
CCL2	HGF	0.0125
CCL2	FASLG	0.0125
CCL2	FGF2	0.075
CCL2	CXCL10	0.04
CCL2	FGF7	0.0625
CCL2	CCL5	0.145
CCL2	IL1R1	0.0125
CCL2	SPP1	0.05
CCL2	FHIT	0.05
CCL2	SMAD2	0.025
CCL2	MUC1	0.0125
CCL2	SMAD3	0.0125
CCL2	CXCR1	0.0125
CCL2	SPARC	0.08
CCL2	TGFBR1	0.0125
CCL2	CD36	0.075
CCL2	CDH1	0.0125
CCL2	VCAM1	0.0125
